 (0.87454467446927941499+0.00000000000000000000j), (-0.17082717405123984400-0.45386086960993821116j)
 (0.81360672641021991591+0.00000000000000000000j), (-0.50413093925403884565+0.28964821909841986791j)
 (0.97053122071318476127+0.00000000000000000000j), (0.23862510753478358150+0.03357391360846598283j)
 (0.70710678118654757274+0.00000000000000000000j), (0.00000000000000000000-0.70710678118654757274j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.67249851196395771247-0.21850801222440954796j)
 (0.70710678118654757274+0.00000000000000000000j), (0.67249851196395771247-0.21850801222440954796j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.41562693777745479684+0.57206140281768336209j)
 (0.70710678118654757274+0.00000000000000000000j), (0.41562693777745479684+0.57206140281768336209j)
 (0.48494495806990511877+0.00000000000000000000j), (0.30806794221708966308-0.81848795386413941699j)
 (0.58141559554250477060+0.00000000000000000000j), (0.70545806874319161306+0.40532063666322393214j)
 (0.24097541289719887070+0.00000000000000000000j), (-0.96106533909061953036+0.13521931954296181888j)
 (0.48494495806990511877+0.00000000000000000000j), (-0.68323007246437694739-0.54591671134239860841j)
 (0.58141559554250477060+0.00000000000000000000j), (0.60348136474803448781-0.54567952835139854617j)
 (0.24097541289719784374+0.00000000000000000000j), (-0.16838430750339147823+0.95581252103413372190j)
 (0.87454467446927941499+0.00000000000000000000j), (0.37885883765103672838-0.30271701883298085534j)
 (0.81360672641021991591+0.00000000000000000000j), (-0.43125685382654016520-0.38995079275170091426j)
 (0.97053122071318498332+0.00000000000000000000j), (0.04180852419793490427+0.23732087334527815492j)
 (0.87454467446927941499+0.00000000000000000000j), (-0.48443583741679696608+0.02221557525045334339j)
 (0.81360672641021991591+0.00000000000000000000j), (0.11968679858713408837+0.56896323693540051813j)
 (0.97053122071318498332+0.00000000000000000000j), (0.10566990282765896525-0.21657105359989423099j)
 (0.48494495806990511877+0.00000000000000000000j), (-0.73032734913612695760+0.48109287122797372849j)
 (0.58141559554250477060+0.00000000000000000000j), (-0.33248607375173389045-0.74256913214939856971j)
 (0.24097541289719887070+0.00000000000000000000j), (0.85699811388140811896+0.45550530532885924462j)
 (0.48494495806990511877+0.00000000000000000000j), (0.87362653159877690090+0.04006333647200197717j)
 (0.58141559554250477060+0.00000000000000000000j), (-0.16748430062688027253+0.79618145815101715179j)
 (0.24097541289719784374+0.00000000000000000000j), (-0.42558673746405289995-0.87224238562095279814j)
 (0.87454467446927941499+0.00000000000000000000j), (0.40497481265785817417+0.26677146299811510533j)
 (0.81360672641021991591+0.00000000000000000000j), (0.23759954570789212913-0.53065106295893615940j)
 (0.97053122071318476127+0.00000000000000000000j), (-0.21278601856098688927+0.11309845235872618974j)
 (0.87454467446927941499+0.00000000000000000000j), (-0.12857063884085861982+0.46759085019435064901j)
 (0.81360672641021991591+0.00000000000000000000j), (0.57810144878555225212+0.06199039967681610475j)
 (0.97053122071318498332+0.00000000000000000000j), (-0.17331751599939004826-0.16742218571257552751j)
 (0.48494495806990511877+0.00000000000000000000j), (0.23186294778463825694+0.84324845750656229892j)
 (0.58141559554250477060+0.00000000000000000000j), (-0.80896905911261118849+0.08674656568655521316j)
 (0.24097541289719784374+0.00000000000000000000j), (0.69803827017665409649-0.67429476028500234808j)
