 (0.70710678118654757274+0.00000000000000000000j), (0.70710678118654757274+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.70710678118654757274+0.00000000000000000000j)
 (0.70710678118654757274+0.00000000000000000000j), (0.00000000000000000000+0.70710678118654757274j)
 (0.70710678118654757274+0.00000000000000000000j), (0.00000000000000000000-0.70710678118654757274j)
 (0.00000000000000000000+0.00000000000000000000j), (1.00000000000000000000+0.00000000000000000000j)
 (1.00000000000000000000+0.00000000000000000000j), (0.00000000000000000000+0.00000000000000000000j)
 (0.88000188706776738545+0.00000000000000000000j), (0.45338368540969969933+0.14156239812000523393j)
 (0.47497018722986017458+0.00000000000000000000j), (0.84000745615890726192-0.26227999321388029141j)
 (0.61271920364597420861+0.00000000000000000000j), (0.65116042773290061518+0.44784514604732439391j)
 (0.79030068801908759379+0.00000000000000000000j), (0.50484392178162762477-0.34721382051511529010j)
 (0.47497018722986017458+0.00000000000000000000j), (-0.84000745615890726192+0.26227999321388029141j)
 (0.88000188706776738545+0.00000000000000000000j), (-0.45338368540969969933-0.14156239812000523393j)
 (0.79030068801908759379+0.00000000000000000000j), (-0.50484392178162762477+0.34721382051511529010j)
 (0.61271920364597420861+0.00000000000000000000j), (-0.65116042773290061518-0.44784514604732439391j)
 (0.79030068801908759379+0.00000000000000000000j), (0.34721382051511529010+0.50484392178162762477j)
 (0.61271920364597420861+0.00000000000000000000j), (-0.44784514604732439391+0.65116042773290061518j)
 (0.88000188706776738545+0.00000000000000000000j), (-0.14156239812000523393+0.45338368540969969933j)
 (0.47497018722986017458+0.00000000000000000000j), (0.26227999321388029141+0.84000745615890726192j)
 (0.79030068801908759379+0.00000000000000000000j), (-0.34721382051511529010-0.50484392178162762477j)
 (0.61271920364597420861+0.00000000000000000000j), (0.44784514604732439391-0.65116042773290061518j)
 (0.88000188706776738545+0.00000000000000000000j), (0.14156239812000523393-0.45338368540969969933j)
 (0.47497018722986017458+0.00000000000000000000j), (-0.26227999321388029141-0.84000745615890726192j)
 (0.94814476675572845199+0.00000000000000000000j), (0.13138835107396379387+0.28941078500254635575j)
 (0.94814476675572845199+0.00000000000000000000j), (-0.13138835107396379387-0.28941078500254635575j)
 (0.94814476675572845199+0.00000000000000000000j), (0.28941078500254635575-0.13138835107396379387j)
 (0.94814476675572845199+0.00000000000000000000j), (-0.28941078500254635575+0.13138835107396379387j)
 (0.31783879762188455009+0.00000000000000000000j), (0.39194452790386985486-0.86334117576569180397j)
 (0.31783879762188455009+0.00000000000000000000j), (-0.39194452790386985486+0.86334117576569180397j)
 (0.31783879762188455009+0.00000000000000000000j), (0.86334117576569180397+0.39194452790386985486j)
 (0.31783879762188455009+0.00000000000000000000j), (-0.86334117576569180397-0.39194452790386985486j)
