 (0.89471187715683087038+0.00000000000000000000j), (-0.36734427250415174759+0.25406464203632650456j)
 (0.64501696996784507743+0.00000000000000000000j), (-0.64924846479833941970+0.40302548233337065486j)
 (0.87428878187673209066+0.00000000000000000000j), (-0.02345756544591185919-0.48483901298045606332j)
 (0.97764750914273801374+0.00000000000000000000j), (0.03779219976369378731-0.20682624955266781797j)
 (0.70710678118654757274+0.00000000000000000000j), (0.00000000000000000000-0.70710678118654757274j)
 (0.70710678118654757274+0.00000000000000000000j), (0.55283834299825418412-0.44087386689515584148j)
 (0.70710678118654757274+0.00000000000000000000j), (0.68937813787193513715+0.15734606135625150980j)
 (0.70710678118654757274+0.00000000000000000000j), (0.30680213417691271083+0.63708119613147107252j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.30680213417691271083+0.63708119613147107252j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.68937813787193513715+0.15734606135625150980j)
 (0.70710678118654757274+0.00000000000000000000j), (-0.55283834299825418412-0.44087386689515584148j)
 (0.89471187715683087038+0.00000000000000000000j), (-0.42767114340366352288-0.12879460382507140759j)
 (0.64501696996784507743+0.00000000000000000000j), (-0.71989780699978833667-0.25632061159916763593j)
 (0.87428878187673209066+0.00000000000000000000j), (0.36443685144461035463-0.32063204330411237963j)
 (0.97764750914273801374+0.00000000000000000000j), (0.18526632444378832165-0.09940692578577506322j)
 (0.44664376954626827665+0.00000000000000000000j), (0.73585999855966421901+0.50893949114396463962j)
 (0.76416824616932366165+0.00000000000000000000j), (0.54801580623085455191+0.34018460821636747893j)
 (0.48540614528917946924+0.00000000000000000000j), (0.04225056999903040872-0.87326729209921527541j)
 (0.21025067863624122277+0.00000000000000000000j), (-0.17573046709601114479-0.96172420946300796185j)
 (0.89471187715683087038+0.00000000000000000000j), (-0.16595292041872988786-0.41466888607534047040j)
 (0.64501696996784507743+0.00000000000000000000j), (-0.24844941729050765145-0.72265205701058810028j)
 (0.87428878187673209066+0.00000000000000000000j), (0.47790288604081632151+0.08501739468158922564j)
 (0.97764750914273801374+0.00000000000000000000j), (0.19323112807309222871+0.08286784062953267416j)
 (0.44664376954626827665+0.00000000000000000000j), (0.06089628784955530838+0.89263709605423968707j)
 (0.76416824616932366165+0.00000000000000000000j), (0.07571522988758110084+0.64055764417360849805j)
 (0.48540614528917946924+0.00000000000000000000j), (0.70909066108947904628-0.51144042514254106635j)
 (0.21025067863624122277+0.00000000000000000000j), (0.64234011029832083217-0.73701684840502390550j)
 (0.89471187715683087038+0.00000000000000000000j), (0.22073123646416345500-0.38828903940726861022j)
 (0.64501696996784507743+0.00000000000000000000j), (0.41008645108234331733-0.64481176407689533292j)
 (0.87428878187673209066+0.00000000000000000000j), (0.23149830000567972466+0.42664700043365288984j)
 (0.97764750914273801374+0.00000000000000000000j), (0.05568895106707736492+0.20274143285477455589j)
 (0.44664376954626827665+0.00000000000000000000j), (-0.65992356966924281547+0.60416076115676453639j)
 (0.76416824616932366165+0.00000000000000000000j), (-0.45360045887027700129+0.45857770907344397315j)
 (0.48540614528917946924+0.00000000000000000000j), (0.84197102156590797328+0.23551151342942908129j)
 (0.21025067863624122277+0.00000000000000000000j), (0.97671548328882618062+0.04267923190404986078j)
 (0.89471187715683087038+0.00000000000000000000j), (0.44120027019246343958-0.06951962641219880390j)
 (0.64501696996784507743+0.00000000000000000000j), (0.75981885755181277631-0.08141506103028249564j)
 (0.87428878187673209066+0.00000000000000000000j), (-0.18922922763845537175+0.44700271284631565294j)
 (0.97764750914273801374+0.00000000000000000000j), (-0.12378814194046162955+0.16994659096885417204j)
 (0.44664376954626827665+0.00000000000000000000j), (-0.88380751923845579654-0.13926094952513745628j)
 (0.76416824616932366165+0.00000000000000000000j), (-0.64134575033611773698-0.06872059423922199928j)
 (0.48540614528917946924+0.00000000000000000000j), (0.34083002972477605130+0.80511847883008624827j)
 (0.21025067863624122277+0.00000000000000000000j), (0.57560417599831426028+0.79023698009296627909j)
 (0.89471187715683087038+0.00000000000000000000j), (0.32943650162121879132+0.30159948321296270457j)
 (0.64501696996784507743+0.00000000000000000000j), (0.53739216680420021088+0.54328884353611561764j)
 (0.87428878187673209066+0.00000000000000000000j), (-0.46746328729758673814+0.13075626529212180937j)
 (0.97764750914273801374+0.00000000000000000000j), (-0.21005023924836480065+0.00917849980446263335j)
 (0.44664376954626827665+0.00000000000000000000j), (-0.44216638043473638353-0.77781632480941109709j)
 (0.76416824616932366165+0.00000000000000000000j), (-0.34614461072933611074-0.54427088844560822523j)
 (0.48540614528917946924+0.00000000000000000000j), (-0.41696292616551627885+0.76845480824779965889j)
 (0.21025067863624122277+0.00000000000000000000j), (-0.25894881600689101386+0.94273016437405354750j)
 (0.89471187715683087038+0.00000000000000000000j), (-0.03039967195130057614+0.44560803047059011073j)
 (0.64501696996784507743+0.00000000000000000000j), (-0.08970178634894575287+0.75888516784744730614j)
 (0.87428878187673209066+0.00000000000000000000j), (-0.39368795710858045522-0.28395231696853934222j)
 (0.97764750914273801374+0.00000000000000000000j), (-0.13814022215831384122-0.15850118891969258716j)
 (0.44664376954626827665+0.00000000000000000000j), (0.33243506138759376656-0.83066014294993251177j)
 (0.76416824616932366165+0.00000000000000000000j), (0.20971048081928683748-0.60997410254955430897j)
 (0.48540614528917946924+0.00000000000000000000j), (-0.86077429415954709313+0.15312899343336133784j)
 (0.21025067863624122277+0.00000000000000000000j), (-0.89850806796367199691+0.38532830669082668296j)
 (0.44664376954626827665+0.00000000000000000000j), (0.85670612154562175711-0.25799993107048763141j)
 (0.76416824616932366165+0.00000000000000000000j), (0.60764930299735409047-0.21635437622903544441j)
 (0.48540614528917946924+0.00000000000000000000j), (-0.65640506205516024885-0.57750607669789000287j)
 (0.21025067863624122277+0.00000000000000000000j), (-0.86147241852126499317-0.46223362519624272560j)
